,flash(W),EEPROM,W_PAGE,E_PAGE,USART,Boot Loader Support,,,,,,
ATmega48PA,2K,256,32,32,1,N, 4KB Flash, 28/32-pin,8-bit picoPower AVR Microcontroller,,,
ATmega88PA,4K,512,32,32,1,Y, 8KB Flash, 28/32-pin,8-bit picoPower AVR Microcontroller,,,
ATmega168PA,8K,512,64,64,1,Y, 16KB Flash, 28/32-pin,8-bit picoPower AVR Microcontroller,,,
ATmega328P,16K,1024,64,64,1,Y, 32KB Flash, 28/32-pin,8-bit picoPower AVR Microcontroller,,,
ATmega8,4K,512,32,32,1,Y, 8KB Flash, 28/32-pin,8-bit AVR Microcontroller,,,
ATmega16,8K,512,64,64,1,Y, 16KB Flash, 40/44-pin,8-bit AVR Microcontroller,,,
ATmega32,16K,1024,64,64,1,Y, 32KB Flash, 40/44-pin,8-bit AVR Microcontroller,,,
ATmega64,32K,2048,128,128,2,Y, 64KB Flash, 64-pin,8-bit AVR Microcontroller,,,
ATmega128,64K,4096,128,128,2,Y, 128KB Flash, 64-pin,8-bit AVR Microcontroller,,,
ATmega8515,4K,512,32,32,1,Y, 8KB Flash, 40/44-pin,8-bit AVR Microcontroller,,,
ATmega8535,4K,512,32,32,1,Y, 8KB Flash, 40/44-pin,8-bit AVR Microcontroller,,,
ATmega162,8K,512,64,64,2,Y, 16KB Flash, 40/44-pin,8-bit AVR Microcontroller,,,
ATmega164PA,8K,512,64,64,2,Y, 16KB Flash, 40/44/49-pin,8-bit picoPower Microcontroller,,,
ATmega324PA,16K,1024,64,64,2,Y, 32KB Flash, 40/44/49-pin,8-bit picoPower AVR Microcontroller,,,
ATmega644PA,32K,2048,128,128,2,Y, 64KB Flash, 40/44/49-pin,8-bit picoPower AVR Microcontroller,,,
ATmega1284P,64K,4096,128,128,2,Y, 128KB Flash, 40/44-pin,8-bit AVR Microcontroller,,,
ATmega165PA,8K,512,64,64,1,Y, 16KB Flash, 64-pin,8-bit picoPower AVR Microcontroller,,,
ATmega325PA,16K,1024,64,64,1,Y, 32KB Flash, 64-pin,8-bit picoPower AVR Microcontroller,,,
ATmega3250P,16K,1024,64,64,1,Y, 32KB Flash, 100-pin,8-bit picoPower AVR Microcontroller,,,
ATmega645P,32K,2048,128,128,1,Y, 64KB Flash, 64-pin,8-bit picoPower AVR Microcontroller,,,
ATmega6450P,32K,2048,128,128,1,Y, 64KB Flash, 100-pin,8-bit picoPower AVR Microcontroller,,,
ATmega640,32K,4096,128,128,4,Y, 64KB Flash, 100-pin,8-bit AVR Microcontroller,,,
ATmega1280,64K,4096,128,128,4,Y, 128KB Flash, 100-pin,8-bit AVR Microcontroller,,,
ATmega1281,64K,4096,128,128,2,Y, 128KB Flash, 64-pin,8-bit AVR Microcontroller,,,
ATmega2560,128K,4096,128,128,4,Y, 256KB Flash, 100-pin,8-bit AVR Microcontroller,,,
ATmega2561,128K,4096,128,128,2,Y, 256KB Flash, 64-pin,8-bit AVR Microcontroller,,,
ATmega16M1,8K,512,64,64,1,Y, 16KB Flash, 32-pin,8-bit AVR Microcontroller, LIN and CAN Controller,,
ATmega32M1,16K,1024,64,64,1,Y, 32KB Flash, 32-pin,8-bit AVR Microcontroller, LIN and CAN Controller,,
ATmega64M1,32K,2048,128,128,1,Y, 64KB Flash, 32-pin,8-bit AVR Microcontroller, LIN and CAN Controller,,
ATmega8U2,4K,512,64,64,1,Y, 8KB Flash, 32-pin,8-bit AVR Microcontroller, USB Controller,,
ATmega16U2,8K,512,64,64,1,Y,16KB Flash, 32-pin,8-bit AVR Microcontroller, USB Controller,,
ATmega32U2,16K,1024,64,64,1,Y,32KB Flash, 32-pin,8-bit AVR Microcontroller, USB Controller,,
ATmega16U4,8K,512,64,64,1,Y, 16KB Flash, 44-pin,8-bit AVR Microcontroller, USB Controller,,
ATmega32U4,16K,1024,64,64,1,Y, 32KB Flash, 44-pin,8-bit AVR Microcontroller, USB Controller,,
ATmega169PA,8K,512,64,64,1,Y, 16KB Flash, 64-pin,8-bit picoPower AVR Microcontroller, LCD Controller,,
ATmega329PA,16K,1024,64,64,1,Y, 32KB Flash, 64-pin,8-bit picoPower AVR Microcontroller, LCD Controller,,
ATmega3290P,16K,1024,64,64,1,Y, 32KB Flash, 100-pin,8-bit picoPower AVR Microcontroller, LCD Controller,,
ATmega649P,32K,2048,128,128,1,Y, 64KB Flash, 64-pin,8-bit picoPower AVR Microcontroller, LCD Controller,,
ATmega6490P,32K,2048,128,128,1,Y, 64KB Flash, 100-pin,8-bit picoPower AVR Microcontroller, LCD Controller,,
,,,,,,,,,,,,
,,,,,,,,,,,,
